price,color,likes,brand,material type,Percentage discount,Rate,Fit,Saling fast,in sale,category,sex
Now 115.46 ILS,Black,1K,ASOS DESIGN,,(-18%),4.0,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 238.58 ILS,BLACK,1K,Nike,"Sweatshirt fabric
Soft hand feel

Main: 100% Cotton.",(-30%),4.2,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 83.97 ILS,BEIGE,277,PUMA,"Sweatshirt fabric
Soft hand feel",(-64%),4.7,Relaxed fit,,1,Hoodies & Sweatshirts,Women
,,,,,0,,,,0,Hoodies & Sweatshirts,Women
Now 236.16 ILS,BLACK,665,adidas Originals,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-25%),5.0,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 251.91 ILS,GREY,4K,Nike,,(-19%),4.3,Oversized fit,,1,Hoodies & Sweatshirts,Women
Now 165.32 ILS,,,,,,4.8,,,1,Hoodies & Sweatshirts,Women
Now 244.04 ILS,,,,,,3.0,,,1,Hoodies & Sweatshirts,Women
,,,,,0,,,,0,Hoodies & Sweatshirts,Women
Now 176.34 ILS,GREY,1K,PUMA,"Sweatshirt fabric: soft and warm

Main: 100% Polyester.",(-29%),4.8,Boxy fit,,1,Hoodies & Sweatshirts,Women
Now 57.73 ILS,,,,,,3.6,,,1,Hoodies & Sweatshirts,Women
Now 141.70 ILS,,,,,,3.8,,,1,Hoodies & Sweatshirts,Women
Now 220.42 ILS,HAZY BLUE,403,adidas Originals,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-30%),5.0,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 139.07 ILS,BLACK,457,,"Poly tricot: smooth and stretchy with a slight surface sheen

Main: 100% Polyester.",(-24%),3.7,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 238.79 ILS,black,230,adidas Originals,,(-30%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 291.27 ILS,BROWN,3K,ellesse,"Borg: sheepskin-like fabric with a bumpy texture

Main: 100% Polyester.",(-19%),,Oversized fit,,1,Hoodies & Sweatshirts,Women
Now 125.95 ILS,WASHED PEBBLE,4K,ASOS DESIGN,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-20%),2.7,Oversized fit,,1,Hoodies & Sweatshirts,Women
Now 89.22 ILS,,,,,,4.8,,,1,Hoodies & Sweatshirts,Women
Now 349.00 ILS,JBLK,516,GUESS Originals,"Fine knit

Main: 50% Viscose, 28% Polyester, 22% Polyamide.",(-19%),,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 165.32 ILS,RED,192,,"Velour: soft, dense-pile fabric with a velvet feel

Main: 100% Recycled Polyester.",(-29%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 125.95 ILS,Beige,1K,Monki,,(-25%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 230.92 ILS,PINK,1K,Nike,"Sweatshirt fabric: soft and warm

Main: 80% Cotton, 20% Polyester.",(-19%),5.0,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 367.37 ILS,Ancient White,198,,"Main: 80% Cotton, 20% Polyester.",(-29%),,Boxy fit,,1,Hoodies & Sweatshirts,Women
Now 141.70 ILS,Olive Green,1K,New Balance,"Sweatshirt fabric: soft and warm

Main: 65% Cotton, 35% Polyester.",(-39%),,Unisex style,,1,Hoodies & Sweatshirts,Women
Now 167.94 ILS,,,,,,4.8,,,1,Hoodies & Sweatshirts,Women
Now 94.47 ILS,Sage,209,Cotton On,,(-43%),,Designed to fit you from bump to baby,,1,Hoodies & Sweatshirts,Women
Now 178.44 ILS,CORNFLOWER BLUE,711,Hollister,"Sweatshirt fabric: soft and warm

Lining: 60% Cotton, 40% Polyester.",(-24%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 131.20 ILS,Grey,1K,,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-19%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 540.55 ILS,Lilac,192,The North Face,"Smooth-woven fabric

Main: 91% Polyester, 9% Elastane.",(-14%),,Regular fit,,1,Hoodies & Sweatshirts,Women
,,,,,0,,,,0,Hoodies & Sweatshirts,Women
,,,,,0,,,,0,Hoodies & Sweatshirts,Women
